0,1,2,3,4,5,/rlhf-fixed-llama-instruct-bs-16_correct,/rlhf-fixed-llama-instruct-bs-16_choiceA_probs,/rlhf-fixed-llama-instruct-bs-16_choiceB_probs,/rlhf-fixed-llama-instruct-bs-16_choiceC_probs,/rlhf-fixed-llama-instruct-bs-16_choiceD_probs
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.3385298,0.20346093,0.22996514,0.22804412
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.47775856,0.20336151,0.15649502,0.16238493
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.23798265,0.28952032,0.33055305,0.14194393
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.33035037,0.22127675,0.25750542,0.19086748
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.19656274,0.22798546,0.35177705,0.22367476
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.5197138,0.23670204,0.18866748,0.054916676
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.38698503,0.13635801,0.3459258,0.13073114
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.23854367,0.16885203,0.35019636,0.24240789
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.26914144,0.29320198,0.24237022,0.19528632
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.48831186,0.15137413,0.18901873,0.17129527
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.13705657,0.23077853,0.3730042,0.25916067
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.25818777,0.20380555,0.3045528,0.23345394
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.2805349,0.21520804,0.31399366,0.19026344
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.33226883,0.17292546,0.26707768,0.22772802
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.28792086,0.30357304,0.23118374,0.17732236
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.2806171,0.26511547,0.22603203,0.2282354
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.3547836,0.20210835,0.26907346,0.17403466
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.23081069,0.24210447,0.2883189,0.23876594
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.3986704,0.2009445,0.21917203,0.18121304
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.23334908,0.28649536,0.29371598,0.1864396
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.23689385,0.23926514,0.39411753,0.12972346
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.2503498,0.22936828,0.28059512,0.23968686
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.29285803,0.24623048,0.24029545,0.22061603
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.34636003,0.28677693,0.20341852,0.16344452
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.29650468,0.20536476,0.2711089,0.22702171
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.276821,0.35043815,0.23234051,0.14040036
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.2226812,0.22928013,0.29827094,0.24976766
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.29812455,0.30135584,0.24652073,0.15399884
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.27344057,0.3820288,0.20975456,0.13477604
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.3177143,0.24695288,0.22126539,0.21406749
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.21046531,0.24277833,0.2799456,0.26681077
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.4508193,0.12529549,0.21056817,0.21331702
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.30122745,0.19282417,0.28032696,0.22562142
 How many books are in the New Testament?,30,29,27,47,C,True,0.23722786,0.18567245,0.31943753,0.25766218
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.25971943,0.16842408,0.31200176,0.2598547
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.20870332,0.1840645,0.2645428,0.34268937
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.37217778,0.2301601,0.18727235,0.21038976
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.2087916,0.28362772,0.3479364,0.15964425
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.2589421,0.17827287,0.29607388,0.2667112
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.31321177,0.24213426,0.26660946,0.1780445
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.19349198,0.1445081,0.58865273,0.0733472
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.15787639,0.23578133,0.36769652,0.23864576
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.36969015,0.16528521,0.27544397,0.1895807
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.26919493,0.37911487,0.20772116,0.14396907
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.30672398,0.41459483,0.20634662,0.07233466
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.117429376,0.1331464,0.70501316,0.04441112
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.29111543,0.25565708,0.2707425,0.1824849
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.39815128,0.20880176,0.23001513,0.16303174
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.24324042,0.16627848,0.3448345,0.24564664
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.25920165,0.22267613,0.35326368,0.16485853
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.2845897,0.2236567,0.27030888,0.22144474
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.3275694,0.22184671,0.19498155,0.25560224
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.22410838,0.32526577,0.2750105,0.17561537
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.3106917,0.190836,0.29737815,0.20109412
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,True,0.28551924,0.30463707,0.3177388,0.09210484
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.27708644,0.18990572,0.3132808,0.21972713
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.28375402,0.264614,0.35822693,0.09340507
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.29936963,0.15010932,0.3052835,0.24523762
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.30656004,0.26365703,0.23604332,0.19373961
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.36612657,0.1990945,0.20985417,0.22492476
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.34838372,0.16387416,0.31346658,0.17427553
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.33072573,0.21980044,0.2801618,0.16931203
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.23222247,0.23276393,0.3069075,0.22810604
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.30245802,0.29395583,0.21229781,0.19128838
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.2384235,0.19319725,0.3570603,0.21131894
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.47206467,0.1723979,0.17882013,0.17671727
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.41016293,0.3067394,0.16664794,0.116449796
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.29568097,0.2604249,0.24371602,0.20017807
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.35126024,0.19334087,0.24089763,0.21450128
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.31870237,0.24668123,0.22380015,0.21081622
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.19799608,0.18036827,0.42886698,0.19276868
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.2735131,0.16131504,0.3672457,0.1979261
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.1397047,0.105751336,0.488361,0.26618305
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.34085912,0.29890886,0.20131585,0.15891623
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.20944074,0.19424747,0.30031344,0.29599833
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.3487654,0.19812258,0.24701893,0.20609309
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.40267873,0.34142584,0.13590077,0.1199947
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.2698301,0.337651,0.24135984,0.15115903
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.2143517,0.22074886,0.37562034,0.18927911
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.22939906,0.23959056,0.30359787,0.22741249
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.25827417,0.157748,0.29841703,0.28556082
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.40605193,0.25405914,0.19647378,0.1434152
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.19661878,0.39146793,0.25928003,0.1526332
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.61719024,0.17088291,0.1496392,0.06228759
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.24053174,0.2471604,0.28426453,0.22804339
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.259448,0.28086638,0.18784611,0.27183953
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.4099208,0.17769566,0.24425441,0.16812915
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.26039606,0.2069776,0.34170103,0.19092526
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.28219557,0.23475695,0.29060748,0.19243991
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.24360967,0.17521831,0.30842644,0.2727456
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.2439513,0.31278834,0.23093058,0.21232975
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,True,0.24766955,0.23530106,0.28242376,0.23460557
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.26373112,0.19428334,0.3367008,0.20528474
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.26826975,0.2447544,0.3402482,0.1467277
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.3273946,0.28813446,0.21202345,0.17244753
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.3858955,0.18703483,0.2613925,0.16567713
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.21595508,0.20135026,0.45108166,0.13161296
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.30712664,0.190058,0.27370858,0.22910683
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.5097421,0.21965005,0.16988203,0.1007259
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.29286683,0.22996151,0.2819999,0.19517174
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.434947,0.27510306,0.18308416,0.10686581
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.17745028,0.17629181,0.35446644,0.29179144
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.3199312,0.29291698,0.25259885,0.13455297
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.29895073,0.20779839,0.23467015,0.25858068
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.21016584,0.15855317,0.46076897,0.170512
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.3065576,0.10811053,0.29181492,0.2935169
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.23537725,0.3026151,0.29074857,0.17125905
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.254716,0.22473548,0.26287323,0.25767526
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.07462053,0.12533012,0.67272645,0.12732297
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.25396135,0.23437911,0.37606505,0.13559441
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.36240354,0.2587789,0.2713128,0.10750475
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.17452745,0.10318147,0.35286933,0.36942178
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.2423056,0.20608895,0.30210745,0.249498
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.27250633,0.265115,0.28834385,0.17403486
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.27456027,0.18213281,0.3074683,0.23583856
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.30530834,0.2567127,0.22283517,0.2151438
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.40009835,0.21195026,0.22032616,0.1676252
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.25224695,0.2167494,0.27333036,0.25767332
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.20929153,0.19711435,0.2959754,0.29761875
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.35217598,0.21931723,0.23500463,0.1935021
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.2912999,0.24904941,0.24580917,0.21384148
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.3545696,0.21616688,0.25097376,0.17828982
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.16265602,0.16566621,0.41055915,0.26111865
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.23516305,0.4067192,0.20328155,0.15483616
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.4764471,0.16754305,0.19156255,0.16444731
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.23179044,0.19499065,0.33602673,0.23719218
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.28845823,0.33667243,0.25523588,0.1196335
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.45332634,0.21124259,0.1832177,0.15221329
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.3801126,0.20404488,0.2807049,0.1351376
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.33589917,0.17289355,0.28659174,0.20461561
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.25075024,0.21994065,0.31340465,0.21590436
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.42889675,0.24039066,0.19351074,0.13720186
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.31192234,0.42374334,0.18967862,0.07465561
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,True,0.34454125,0.19289632,0.21916796,0.24339446
