0,1,2,3,4,5,/rlhf-fixed-llama-v3-bs-16_correct,/rlhf-fixed-llama-v3-bs-16_choiceA_probs,/rlhf-fixed-llama-v3-bs-16_choiceB_probs,/rlhf-fixed-llama-v3-bs-16_choiceC_probs,/rlhf-fixed-llama-v3-bs-16_choiceD_probs
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.092069425,0.26076102,0.54984325,0.097326346
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.43385866,0.29887423,0.11640145,0.15086555
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.4533227,0.31218424,0.075305894,0.1591871
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.37067965,0.34525782,0.12314162,0.16092095
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.32225645,0.37963772,0.11059157,0.1875143
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.4091262,0.46569404,0.036579788,0.08859999
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.33850908,0.38266835,0.1060797,0.17274289
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.09079907,0.49535832,0.23981713,0.17402549
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,False,0.16472884,0.2927097,0.27384582,0.2687157
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.2574026,0.31533295,0.20822646,0.21903802
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.32274792,0.4240419,0.09098923,0.162221
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.28450587,0.46907714,0.072203495,0.17421342
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.31637016,0.28325343,0.1483793,0.25199714
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.24251828,0.45100847,0.04222559,0.26424766
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.30657524,0.32115024,0.14381753,0.22845703
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.26044148,0.28260252,0.18488826,0.27206767
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.40370026,0.44171092,0.055972673,0.09861619
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.24909763,0.34896266,0.13761647,0.2643233
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.3201014,0.32643104,0.12787221,0.22559525
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.3349952,0.27632955,0.14844753,0.24022768
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.38693568,0.39531156,0.0854644,0.13228834
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.29171094,0.31522226,0.15126549,0.24180134
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.22282447,0.36942512,0.15949777,0.24825269
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.17478065,0.4788321,0.094075836,0.25231138
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.39987847,0.3835236,0.08356511,0.1330328
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.28482375,0.36594003,0.09011091,0.25912532
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.39444476,0.4449715,0.0739537,0.08663
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.25916755,0.27820534,0.16655928,0.29606783
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.3482363,0.31043217,0.17452936,0.16680221
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.34785116,0.3655433,0.07953023,0.20707531
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.2562789,0.48490363,0.06489145,0.19392604
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.2615441,0.5841041,0.058669087,0.09568268
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.42545214,0.42681193,0.054400355,0.09333563
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.24830602,0.25250795,0.22636956,0.27281642
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.2250994,0.3133797,0.20894071,0.2525802
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.27293202,0.34147522,0.12363876,0.261954
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.24127845,0.3213886,0.108496636,0.32883632
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.2627698,0.35895348,0.1664996,0.2117771
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.51884997,0.3864063,0.05477867,0.039965022
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.44637218,0.27381018,0.09688042,0.18293728
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,True,0.22306842,0.41434988,0.13068922,0.23189253
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.37058735,0.3069044,0.09162626,0.23088193
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.32049283,0.51479626,0.067304894,0.097406074
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.3473829,0.31564486,0.084410824,0.25256142
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.3093616,0.4070501,0.08436692,0.1992214
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.28800467,0.38938722,0.1712011,0.15140696
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.23291701,0.53893304,0.06141074,0.16673918
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,False,0.22154106,0.27995747,0.22274396,0.27575752
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.30726016,0.26344943,0.2111621,0.21812831
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.22928607,0.29673803,0.05222285,0.421753
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.19297664,0.30503958,0.24270572,0.25927806
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.22519702,0.53764457,0.08341505,0.15374334
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.25942692,0.3432911,0.1786905,0.21859151
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.39601296,0.30643505,0.10442207,0.19312982
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.35455918,0.32677728,0.109605014,0.20905851
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.24730311,0.5904723,0.06623955,0.095985025
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.2919925,0.3720457,0.1122875,0.2236744
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.29016083,0.3457734,0.117717326,0.24634837
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.31210506,0.47980428,0.06727304,0.1408177
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,False,0.17928652,0.41379118,0.20908093,0.19784136
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.3346387,0.34248364,0.059009027,0.26386857
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,True,0.25947043,0.33423275,0.15621194,0.2500849
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.24884471,0.36996654,0.19581245,0.1853763
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.27539983,0.32207394,0.17634198,0.22618414
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.3117414,0.335055,0.12088224,0.23232143
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.37104565,0.33301705,0.06383551,0.23210189
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,False,0.25409397,0.34371173,0.101188295,0.30100596
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.31905755,0.29183918,0.16304913,0.22605416
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.3212842,0.32838047,0.119080886,0.23125438
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.2394866,0.4398838,0.14946324,0.1711664
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,False,0.19815682,0.39910764,0.2405985,0.16213703
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,True,0.32655945,0.34176692,0.051413316,0.28026035
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.28935525,0.30311796,0.14045893,0.26706785
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.29079747,0.39962277,0.08836874,0.22121102
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.1297487,0.23482223,0.480771,0.15465808
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.26445812,0.31013554,0.190526,0.23488037
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.2033536,0.5709876,0.10015502,0.12550375
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.08222704,0.32038853,0.32325074,0.27413377
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.33349466,0.39905635,0.10507695,0.16237213
How many sides does a rhombus have?,4,6,8,10,A,True,0.4229963,0.31320167,0.067267135,0.19653492
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.1775784,0.26226774,0.2486646,0.31148925
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.42995214,0.39830568,0.07414733,0.09759486
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.3133021,0.3543724,0.092594974,0.23973052
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.23393275,0.25607997,0.20011276,0.3098745
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,True,0.295891,0.2788783,0.18984725,0.2353835
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.2534128,0.2785649,0.22591728,0.24210495
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.26470742,0.41585585,0.07868062,0.24075605
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.21214107,0.31348768,0.14076279,0.33360854
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.3683249,0.41534176,0.05961375,0.15671958
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.26658636,0.4006258,0.11438193,0.21840596
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.2948583,0.34135795,0.108827926,0.25495577
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.1481904,0.3880066,0.24200338,0.22179964
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.27248123,0.5533282,0.06939268,0.10479791
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.6303541,0.3308019,0.014979013,0.023865007
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.3169933,0.31912932,0.13554087,0.22833651
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.07313752,0.89338666,0.0023042676,0.03117158
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.2889111,0.62062883,0.0348541,0.05560594
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,False,0.7439163,0.21427485,0.02269261,0.01911635
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.30557886,0.3220079,0.077023044,0.2953902
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.4259329,0.3691616,0.026747078,0.1781584
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.2986888,0.43412402,0.13293706,0.13425009
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.25326887,0.38097325,0.11597905,0.24977878
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.33301717,0.4142948,0.06087338,0.19181468
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.3017509,0.3062965,0.17340164,0.21855105
How many stars are on the American flag?,13,48,50,51,C,False,0.46093678,0.29197338,0.041148134,0.20594169
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.472264,0.38023767,0.069492266,0.07800613
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.3234379,0.32131654,0.1038794,0.25136623
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.1973238,0.24798714,0.28631258,0.26837647
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.23082414,0.28795484,0.21286267,0.26835838
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.27629808,0.39424923,0.07215424,0.2572985
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.25927284,0.35832134,0.1485673,0.23383842
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.37615165,0.3793239,0.04916797,0.19535644
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.34318757,0.3940057,0.11878832,0.14401844
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.2405134,0.36467862,0.18803725,0.20677076
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.29649675,0.36896095,0.10173955,0.23280285
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.25234067,0.3580777,0.12061824,0.26896337
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,False,0.28496438,0.27378947,0.21783563,0.22341059
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.27708188,0.4159698,0.09074769,0.21620066
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.2938381,0.3042412,0.04851985,0.3534009
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.2317038,0.3546862,0.12481781,0.2887921
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.29530823,0.40408838,0.11658406,0.18401939
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.26808825,0.29026031,0.14831835,0.29333305
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.06639359,0.18438849,0.07903842,0.6701794
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.25720227,0.3534795,0.099517286,0.2898009
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,True,0.31096166,0.31400847,0.10571466,0.26931515
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.38811526,0.34552622,0.105319664,0.161039
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,False,0.29020813,0.4039768,0.13997994,0.16583507
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.45934063,0.31049377,0.08285817,0.14730747
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.17183353,0.41594207,0.14179383,0.2704306
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.13338706,0.4907057,0.118013114,0.25789416
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.38487646,0.41747037,0.054001164,0.14365196
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.27565762,0.33802247,0.11509852,0.27122146
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.34903872,0.49123868,0.053253703,0.10646887
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,True,0.278012,0.27303287,0.18081374,0.2681414
Who was the first US president to resign from that office?,Martin Van Buren,Andrew Jackson,Andrew Johnson,Richard Nixon,D,False,0.29569596,0.40987283,0.13595237,0.15847884
