0,1,2,3,4,5,/llama-7b_correct,/llama-7b_choiceA_probs,/llama-7b_choiceB_probs,/llama-7b_choiceC_probs,/llama-7b_choiceD_probs
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.099917404,0.09981283,0.5730744,0.22719537
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.20702413,0.17691709,0.25068465,0.36537418
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.28177166,0.26071352,0.2435904,0.21392436
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.40080738,0.20718828,0.2183308,0.17367353
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.36922818,0.22794655,0.22244374,0.18038146
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.3482626,0.18950425,0.2422202,0.22001295
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.42685208,0.19636384,0.17443189,0.20235226
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.26625204,0.16577244,0.23570183,0.3322737
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.38698426,0.1928116,0.1949423,0.22526184
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.31898445,0.22486807,0.2298786,0.22626892
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.39381695,0.2414068,0.16473883,0.20003746
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.24857947,0.28476843,0.2984786,0.16817352
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.31681338,0.20639715,0.26255685,0.21423258
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.2086853,0.22618899,0.31825504,0.24687073
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.50561804,0.24088709,0.18199037,0.071504414
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.34201694,0.17901711,0.32377747,0.15518841
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.23233011,0.18035004,0.32184675,0.26547307
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.27181375,0.27008972,0.23685418,0.22124238
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.46573627,0.16019674,0.17875329,0.19531365
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.12263461,0.23738743,0.38528478,0.25469315
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.26330662,0.2309432,0.26574555,0.24000463
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.28918752,0.23341791,0.2628867,0.21450786
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.3272781,0.1832397,0.2405055,0.24897672
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.28356314,0.30101025,0.21592186,0.19950473
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.25000674,0.25809932,0.23591737,0.2559765
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.33894953,0.23519494,0.23692659,0.18892893
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.26311564,0.2633893,0.26493105,0.20856404
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.355975,0.21072567,0.22774622,0.20555308
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.22757977,0.27320722,0.30325326,0.19595978
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.23784381,0.26751703,0.34818998,0.14644918
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.22553107,0.21384357,0.29466176,0.26596364
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.2752529,0.24784872,0.23276883,0.24412955
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.33444706,0.26468042,0.22962175,0.17125076
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.31218848,0.22488494,0.24474014,0.21818642
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.27743196,0.3201559,0.24843854,0.15397358
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.20553936,0.2275556,0.3003562,0.2665489
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.27811873,0.310358,0.24278128,0.16874193
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.28792,0.36917728,0.20530024,0.1376025
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.3254058,0.2456976,0.21437238,0.21452413
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.21687259,0.28355742,0.2411929,0.25837705
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.41260743,0.14458737,0.20466496,0.23814026
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.30416733,0.19017176,0.256581,0.24907988
 How many books are in the New Testament?,30,29,27,47,C,True,0.2222233,0.21553332,0.29247886,0.2697645
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.2501386,0.17405562,0.28916863,0.28663716
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.20089114,0.21374719,0.24574481,0.33961686
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.36124346,0.23984179,0.18287244,0.21604225
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.20625803,0.28547093,0.3255526,0.18271846
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.23955612,0.21118507,0.28039446,0.2688644
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.3252945,0.2365311,0.25141126,0.18676315
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.19257642,0.18884914,0.5059343,0.112640135
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.1839595,0.21665724,0.33321184,0.2661714
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.3590968,0.18622911,0.25878045,0.19589368
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.23311032,0.3537997,0.22865257,0.18443744
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.32490325,0.38847205,0.19717544,0.08944926
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.1341846,0.16577235,0.6415279,0.05851512
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.31310293,0.2673574,0.23053366,0.18900603
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.36051616,0.2148966,0.23131375,0.19327354
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.23785242,0.1798705,0.3271722,0.2551049
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.24991019,0.2363982,0.3093711,0.20432042
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.2916694,0.23757961,0.23443359,0.23631734
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.29797003,0.23411901,0.19804761,0.26986334
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.24641576,0.28421253,0.28712538,0.1822464
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.30938387,0.18970965,0.2805626,0.22034383
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.30395958,0.29030424,0.29875326,0.1069829
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.28343955,0.19978707,0.2962703,0.22050308
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.25233716,0.25941977,0.35135797,0.13688517
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.2743321,0.16288583,0.3006198,0.26216227
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.30948538,0.26835272,0.2129983,0.20916358
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.3532105,0.20638338,0.20788902,0.23251712
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.31954977,0.22010666,0.2882314,0.17211214
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.33483467,0.24726108,0.2365821,0.18132219
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.23190168,0.2579482,0.29568154,0.21446866
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.2801699,0.300528,0.21667905,0.20262302
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.2668364,0.20973732,0.29957995,0.22384624
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.41276762,0.19593573,0.18345366,0.20784298
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.37147248,0.30835825,0.17558534,0.14458388
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.30745,0.23022638,0.24703783,0.21528578
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.36833122,0.2008182,0.21823068,0.21261989
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.31749162,0.25315005,0.21646257,0.21289578
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.19696221,0.2040421,0.37827545,0.2207202
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.24977292,0.19028851,0.32568765,0.2342509
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.14292502,0.10763923,0.44145676,0.30797905
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.34105042,0.27047116,0.20886202,0.17961642
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.18033616,0.21858002,0.27567196,0.32541192
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.35501495,0.20505776,0.22819762,0.21172968
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.39459842,0.34778583,0.13511646,0.122499265
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.24968994,0.30872136,0.25816834,0.18342037
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.24209096,0.21754603,0.33176428,0.20859876
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.23272637,0.26580316,0.29027474,0.21119568
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.25525215,0.18852696,0.2830373,0.27318358
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.3808403,0.25241095,0.18914732,0.17760141
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.20277236,0.40061226,0.24980417,0.14681113
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.53988874,0.19339608,0.16501234,0.10170286
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.2509214,0.24569857,0.26212558,0.24125443
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.28299072,0.25635225,0.19063202,0.27002493
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.42766094,0.17863674,0.20883557,0.18486673
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.2493204,0.23705164,0.29290736,0.22072054
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.28335875,0.23729128,0.26219898,0.21715097
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.2427093,0.1948625,0.2983918,0.26403645
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.23598036,0.27050897,0.24581923,0.24769147
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.2601896,0.23523036,0.25321972,0.25136036
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.25326192,0.18607627,0.32444572,0.23621607
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.2720972,0.26189002,0.30102563,0.16498715
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.3064695,0.28230494,0.22409388,0.18713178
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.3726062,0.23106714,0.22465831,0.17166835
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.22032312,0.200577,0.4225444,0.15655553
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.29239994,0.20069598,0.27287287,0.23403129
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.40312806,0.281708,0.17275076,0.14241318
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.31873247,0.22915965,0.2473972,0.20471062
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.47740823,0.2468508,0.16954954,0.10619148
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.18473104,0.16498591,0.3296222,0.32066086
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.3213202,0.28699422,0.22733442,0.1643511
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.30317065,0.20171767,0.22868028,0.26643142
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.22066821,0.17246604,0.3943061,0.2125597
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.30697373,0.13675322,0.25623187,0.3000412
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.23078221,0.30314636,0.28185564,0.18421578
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.2756625,0.23637879,0.24327596,0.24468271
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.09063667,0.14610304,0.5816615,0.18159874
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.27253428,0.24167082,0.3317436,0.15405133
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.33155853,0.27157503,0.2564232,0.1404432
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.17617083,0.12000454,0.3227854,0.3810392
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.25084338,0.21002369,0.2807486,0.2583843
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.30043304,0.27248093,0.2551912,0.17189483
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.2622428,0.18153182,0.31041938,0.2458061
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.29742113,0.25238338,0.22925307,0.22094242
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.3903843,0.22730125,0.20002948,0.18228497
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.24255306,0.23633222,0.26551232,0.25560236
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.22257909,0.20423798,0.27569172,0.29749116
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.336831,0.2289779,0.22669214,0.20749894
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.33381778,0.26115292,0.19722785,0.20780142
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.32494155,0.22474924,0.25915942,0.19114974
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.16672373,0.17869182,0.35890576,0.29567868
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.23909526,0.39745843,0.21181656,0.15162988
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.46154773,0.17780645,0.18558832,0.1750575
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.25565663,0.1998593,0.30736017,0.23712388
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.28503516,0.34356105,0.23728298,0.13412076
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.4150706,0.20658065,0.19637759,0.18197119
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.37623084,0.21182671,0.23928876,0.17265363
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.33172324,0.18619776,0.25934163,0.22273734
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.2547365,0.23878305,0.29251176,0.21396863
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.38414204,0.25499728,0.19258082,0.16827983
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.31220266,0.40542752,0.19732746,0.08504238
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,True,0.34174317,0.2146191,0.206086,0.2375517
